name,canonical_name,ra_deg,dec_deg,sptype,n_planets,has_mast,has_eso,has_carmenes,summary
Vega,Vega,279.234734787025,38.783688956244,,0,True,False,False,"Vega: unknown type | tags: calibrator, A0V, nearby, HLSP, CALSPEC, ASTRAL"
Sirius A,Sirius A,101.28715533333335,-16.71611586111111,,0,True,False,False,"Sirius A: unknown type | tags: calibrator, A1V, nearby, HLSP, CALSPEC"
G191-B2B,G191-B2B,76.37757540733,52.83108869489,,0,True,False,False,"G191-B2B: unknown type | tags: calibrator, DA white dwarf, HLSP, CALSPEC"
GD 71,GD 71,88.11508274659,15.88700802429,,0,True,False,False,"GD 71: unknown type | tags: calibrator, DA white dwarf, HLSP, CALSPEC"
GD 153,GD 153,194.25967704565,22.031287438399996,,0,True,False,False,"GD 153: unknown type | tags: calibrator, DA white dwarf, HLSP, CALSPEC"
Arcturus,Arcturus,213.915300294925,19.1824091615312,,0,True,False,False,"Arcturus: unknown type | tags: atlas, K1.5III, UVES-POP, nearby"
Aldebaran,Aldebaran,68.9801627900154,16.5093023507718,,0,True,False,False,"Aldebaran: unknown type | tags: giant, K5III, UVES-POP"
Procyon,Procyon,114.82549790798149,5.224987557059477,,0,True,False,False,"Procyon: unknown type | tags: F5IV-V, UV, ASTRAL"
18 Sco,18 Sco,243.90529281485533,-8.369439479286111,,0,True,False,False,"18 Sco: unknown type | tags: solar-twin, G2V"
Proxima Centauri,Proxima Centauri,217.42894222160578,-62.67949018907555,,0,True,False,False,"Proxima Centauri: unknown type | tags: M5.5V, flare, nearby"
Barnard's Star,Barnard's Star,269.4520769586187,4.693364966576667,,0,True,False,False,"Barnard's Star: unknown type | tags: M4V, quiet, nearby"
HD 122563,HD 122563,210.63268961872998,9.68609566441,,0,True,False,False,"HD 122563: unknown type | tags: metal-poor, giant"
HD 140283,HD 140283,235.76290466259124,-10.933498803663333,,0,True,False,False,"HD 140283: unknown type | tags: metal-poor, subgiant"
HD 93521,HD 93521,162.0979641588,37.57030092567,,0,True,False,False,"HD 93521: unknown type | tags: O9V, hot"
Gamma Cassiopeiae,Gamma Cassiopeiae,14.17721289375,60.71674002472222,,0,False,False,False,"Gamma Cassiopeiae: unknown type | tags: Be, emission"
WR 134,WR 134,302.55913668548,36.17640852316,,0,False,False,False,"WR 134: unknown type | tags: Wolf-Rayet, extreme"
HD 209458,HD 209458,330.79488644388,18.88431927594,,0,True,False,False,"HD 209458: unknown type | tags: host, hot-jupiter"
HD 189733,HD 189733,300.18213726402,22.71085365096,,0,True,False,False,"HD 189733: unknown type | tags: host, hot-jupiter, hazes"
WASP-39,WASP-39,217.32672987069,-3.4445012445499996,,0,True,False,False,"WASP-39: unknown type | tags: host, JWST-ERS, chemistry"
WASP-96,WASP-96,1.0464069851,-47.36064467548,,0,True,False,False,"WASP-96: unknown type | tags: host, JWST, NIRISS"
WASP-121,WASP-121,107.60025190244,-39.09738090290999,,0,True,False,False,"WASP-121: unknown type | tags: host, ultra-hot"
WASP-18,WASP-18,24.354305332789995,-45.677881865959996,,0,False,False,False,"WASP-18: unknown type | tags: host, ultra-hot"
WASP-76,WASP-76,26.632739973940005,2.7005639071000003,,0,True,False,False,"WASP-76: unknown type | tags: host, ESPRESSO, iron"
KELT-9,KELT-9,307.85980589739,39.93882584375,,0,True,False,False,"KELT-9: unknown type | tags: host, extreme-T"
HAT-P-26,HAT-P-26,213.1563879597129,4.060032380532777,,0,True,False,False,"HAT-P-26: unknown type | tags: host, warm-neptune"
HAT-P-11,HAT-P-11,297.70936374039,48.08086149735999,,0,True,False,False,"HAT-P-11: unknown type | tags: host, helium-10830"
GJ 1214,GJ 1214,258.82889160451873,4.963907392315556,,0,True,False,False,"GJ 1214: unknown type | tags: host, sub-neptune, flat-spectrum, JWST"
K2-18,K2-18,172.56049060233,7.588404263470001,,0,True,False,False,"K2-18: unknown type | tags: host, Hycean-debate, JWST"
GJ 3470,GJ 3470,119.77433139863999,15.391454462500002,,0,True,False,False,"GJ 3470: unknown type | tags: host, helium-escape"
HD 97658,HD 97658,168.63817198091,25.7103862107,,0,True,False,False,"HD 97658: unknown type | tags: host, sub-neptune, flat"
